Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves,category
47078,Text,2014-10-08,A Manual of Clinical Diagnosis,en,"Todd, James Campbell, 1874-1928","Diagnosis, Laboratory",RB,,R
47135,Text,2014-10-16,"The American Jew as Patriot, Soldier and Citizen",en,"Wolf, Simon, 1836-1923; Levy, Louis Edward, 1846-1919 [Editor]","Jews -- United States -- History; United States -- History -- Revolution, 1775-1783 -- Participation, Jewish; United States -- History -- Civil War, 1861-1865 -- Participation, Jewish",E151,,E
47232,Text,2014-10-29,The Book of Roses,en,"Parkman, Francis, 1823-1893",Roses,SB,,S
47363,Text,2014-11-16,The Life of James McNeill Whistler,en,"Pennell, Elizabeth Robins, 1855-1936; Pennell, Joseph, 1857-1926","Whistler, James McNeill, 1834-1903",ND,,N
47387,Text,2014-11-17,Fissure of the Anus and Fistula in Ano,en,"Adler, Lewis H., Jr.",Fistula; Fissure in Ano,RC,,R
47397,Text,2014-11-19,"Zion National Park, Bryce Canyon, Cedar Breaks, Kaibab Forest, North Rim of Grand Canyon",en,Union Pacific Railroad Company,Zion National Park (Utah); Grand Canyon National Park (Ariz.); Bryce Canyon National Park (Utah); Cedar Breaks National Monument (Utah); Kaibab National Forest (Ariz.),F786,,F
47457,Text,2014-11-25,Jaros Hygienic Wear: The therapeutic and prophylactic application.,en,"Jaros, I.",Underwear -- Catalogs,GT,,G
47605,Text,2014-12-08,"Proofs of a Conspiracy against all the Religions and Governments of Europe
carried on in the secret meetings of Free Masons, Illuminati, and reading societies.",en,"Robison, John, 1739-1805",Freemasonry -- Early works to 1800; Illuminati -- Early works to 1800,HS,,H
47693,Text,2014-12-17,"A Glimpse at Guatemala
And Some Notes on the Ancient Monuments of Central America",en,"Maudslay, Alfred Percival, 1850-1931; Maudslay, Anne Cary, -1926","Guatemala -- Description and travel; Central America -- Antiquities; Mayas; Yucatán Peninsula -- Antiquities; Indians of Central America -- Guatemala -- Antiquities; Guatemala -- Antiquities; Maudslay, Anne Cary, -1926; Maudslay, Alfred Percival, 1850-1931",F1461,,F
47766,Text,2014-12-24,"The Propaganda for Reform in Proprietary Medicines, Vol. 1 of 2",en,Council on Pharmacy and Chemistry (American Medical Association),Patent medicines,RM,,R
47805,Text,2014-12-29,"The Knickerbocker, Vol. 22, No. 5, November 1843",en,Various,Periodicals,AP,The Knickerbocker,A
47833,Text,2014-12-31,"Archæological Essays, Vol. 2",en,"Simpson, James Young, 1811-1870; Stuart, John, 1813-1877 [Editor]",Archaeology,CC,,C
47844,Text,2015-01-01,"The Young Collector's Handbook of Ants, Bees, Dragon-flies, Earwigs, Crickets, and Flies
(Hymenoptera, Neuroptera, Orthoptera, Hemiptera, Diptera).",en,"Bath, W. Harcourt (William Harcourt)",Insects -- Juvenile literature,QL,,Q
47862,Text,2015-01-03,Chapter of Autobiography,en,"Gladstone, W. E. (William Ewart), 1809-1898","Gladstone, W. E. (William Ewart), 1809-1898; Church of Ireland -- Establishment and disestablishment",DA,,D
47883,Text,2015-01-05,"Birds and Nature, Vol. 12 No. 3 [August 1902]
Illustrated by Color Photography",en,"Various; Higley, William Kerr, 1860-1908 [Editor]",Birds -- Periodicals; Natural history -- Periodicals,QH,,Q
47926,Text,2015-01-09,"Harper's Young People, July 5, 1881
An Illustrated Weekly",en,Various,"Children's periodicals, American",AP,,A
47993,Text,2015-01-16,A Renaissance Courtesy-book: Galateo of Manners & Behaviours,en,"Della Casa, Giovanni, 1503-1556; Spingarn, Joel Elias, 1875-1939 [Author of introduction, etc.]; Peterson, Robert, active 1576-1606 [Translator]",Etiquette -- Early works to 1800; Courtesy -- Early works to 1800,BJ,,B
48151,Text,2015-02-04,"A History of Inventions, Discoveries, and Origins, Volume 1 (of 2)",en,"Beckmann, Johann, 1739-1811; Francis, William, 1817-1904 [Editor]; Griffith, J. W. (John William) [Editor]; Johnston, William [Translator]",Inventions -- History,T,,T
48173,Text,2015-02-05,"Practical Carriage and Wagon Painting
A Treatise on the Painting of Carriages, Wagons and Sleighs, Embracing Full and Explicit Directions for Executing All Kinds of Work, Including Painting Factory Work, Lettering, Scrolling, Ornamenting, Varnishing, etc., with Many Tested Recipes and Formulas",en,"Hillick, M. C. (Mayton Clarence), 1859-",Carriage and wagon painting,TS,,T
48180,Text,2015-02-06,Major Prophets of To-Day,en,"Slosson, Edwin E. (Edwin Emery), 1865-1929","Bergson, Henri, 1859-1941; Poincaré, Henri, 1854-1912; Maeterlinck, Maurice, 1862-1949; Metchnikoff, Elie, 1845-1916; Ostwald, Wilhelm, 1853-1932; Haeckel, Ernst, 1834-1919",CT,,C
48293,Text,2015-02-17,"Old Quebec, the city of Champlain",en,"Weaver, Emily P. (Emily Poynton), 1865-1943; Weaver, Annie E. [Illustrator]","Vieux-Québec (Québec, Québec) -- History",F1001,,F
48366,Text,2015-02-26,Chats on Military Curios,en,"Johnson, Stanley C. (Stanley Currie), 1878-",Military art and science,U,,U
48437,Text,2015-03-08,The Art and Practice of Hawking,en,"Michell, E. B. (Edward Blair), 1843-; Lodge, George Edward, 1860-1954 [Illustrator]",Falconry,SK,,S
48573,Text,2015-03-24,British and Foreign Arms & Armour,en,"Ashdown, Charles Henry",Armor -- England; Weapons -- Europe; Armor -- Europe; Weapons -- England,U,,U
48614,Text,2015-03-31,Women's Suffrage: A Short History of a Great Movement,en,"Fawcett, Millicent Garrett, Dame, 1847-1929",Women -- Suffrage -- Great Britain,JN,,J
48617,Text,2015-04-01,"Historically Famous Lighthouses
CG-232",en,United States. Coast Guard,Lighthouses -- United States,VK,,V
48694,Text,2015-04-12,"Musk-Ox, Bison, Sheep and Goat",en,"Grinnell, George Bird, 1849-1938; Whitney, Caspar, 1862-1929; Wister, Owen, 1860-1938",Hunting; American bison; Mountain goat; Muskox; Mountain sheep,SK,,S
48722,Text,2015-04-17,Making Fermented Pickles,en,"LeFevre, Edwin",Canning and preserving; Pickles,TP; TX,,T
48763,Text,2015-04-22,"A Book of Giants: Tales of Very Tall Men of Myth, Legend, History, and Science.",en,"Lanier, Henry Wysham, 1873-",Giants,GR,,G
48816,Text,2015-04-28,"Big Game Shooting, volume 2 (of 2)",en,"Phillipps-Wolley, Clive, -1918; Whymper, Charles, 1853-1941 [Illustrator]",Hunting; Game and game-birds,SK,,S
48828,Text,2015-04-30,"Cunnie Rabbit, Mr. Spider and the Other Beef: West African Folk Tales",en,"Cronise, Florence M.; Ward, Henry W.; Sichel, Gerald [Illustrator]","Anansi (Legendary character); Folklore -- Africa, West; Tales -- Africa, West",GR,,G
